Name                                                        Stmts   Miss  Coverage
----------------------------------------------------------------------------------------
numpy\__config__.py                                           28      3    89%
numpy\__init__.py                                            167     41    75%
numpy\_core\__init__.py                                        0      0   100%
numpy\_core\_dtype.py                                          4      0   100%
numpy\_core\_dtype_ctypes.py                                   4      0   100%
numpy\_core\_internal.py                                       4      0   100%
numpy\_core\_multiarray_umath.py                               4      0   100%
numpy\_core\multiarray.py                                      4      0   100%
numpy\_core\umath.py                                           4      0   100%
numpy\_distributor_init.py                                     4      0   100%
numpy\_globals.py                                             26      5    81%
numpy\_pyinstaller\__init__.py                                 0      0   100%
numpy\_pyinstaller\hook-numpy.py                               8      8     0%
numpy\_pyinstaller\pyinstaller-smoke.py                       15     15     0%
numpy\_pyinstaller\test_pyinstaller.py                        17      8    53%
numpy\_pytesttester.py                                        54     46    15%
numpy\_typing\__init__.py                                     42      2    95%
numpy\_typing\_add_docstring.py                               32      0   100%
numpy\_typing\_array_like.py                                  41      2    95%
numpy\_typing\_char_codes.py                                  40      0   100%
numpy\_typing\_dtype_like.py                                  35      0   100%
numpy\_typing\_extended_precision.py                          14     14     0%
numpy\_typing\_nbit.py                                        11      0   100%
numpy\_typing\_nested_sequence.py                             21      7    67%
numpy\_typing\_scalars.py                                     12      0   100%
numpy\_typing\_shape.py                                        4      0   100%
numpy\_typing\setup.py                                         8      8     0%
numpy\_utils\__init__.py                                       7      0   100%
numpy\_utils\_convertions.py                                   9      6    33%
numpy\_utils\_inspect.py                                      67     17    75%
numpy\_utils\_pep440.py                                      198    122    38%
numpy\array_api\__init__.py                                   32      0   100%
numpy\array_api\_array_object.py                             534     70    87%
numpy\array_api\_constants.py                                  6      0   100%
numpy\array_api\_creation_functions.py                       121     16    87%
numpy\array_api\_data_type_functions.py                       91     20    78%
numpy\array_api\_dtypes.py                                    31      0   100%
numpy\array_api\_elementwise_functions.py                    292    101    65%
numpy\array_api\_indexing_functions.py                        12      3    75%
numpy\array_api\_manipulation_functions.py                    31      9    71%
numpy\array_api\_searching_functions.py                       19     10    47%
numpy\array_api\_set_functions.py                             29      4    86%
numpy\array_api\_sorting_functions.py                         23      9    61%
numpy\array_api\_statistical_functions.py                     46     32    30%
numpy\array_api\_typing.py                                    18     18     0%
numpy\array_api\_utility_functions.py                          8      1    88%
numpy\array_api\linalg.py                                    181    131    28%
numpy\array_api\setup.py                                       8      8     0%
numpy\array_api\tests\__init__.py                              0      0   100%
numpy\array_api\tests\test_array_object.py                   197      0   100%
numpy\array_api\tests\test_creation_functions.py              93      0   100%
numpy\array_api\tests\test_data_type_functions.py             12      0   100%
numpy\array_api\tests\test_elementwise_functions.py           29      0   100%
numpy\array_api\tests\test_indexing_functions.py               8      0   100%
numpy\array_api\tests\test_manipulation_functions.py          21      0   100%
